image_id,image_filename,bead_id,category_id,x,y,area,approx_radius
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11535,1,423,177,46.0,3
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11536,1,404,165,46.0,3
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11537,1,369,128,46.0,3
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11538,1,362,115,46.0,3
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11539,1,180,106,46.0,3
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11540,1,247,277,46.0,3
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11541,1,355,58,46.0,3
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11542,1,229,490,46.0,3
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11543,1,12,443,46.0,3
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11544,1,275,311,46.0,3
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11545,1,15,53,46.0,3
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11546,1,220,470,46.0,3
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11547,1,260,369,46.0,3
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11548,1,123,146,46.0,3
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11549,1,64,499,46.0,3
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11550,1,113,218,46.0,3
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11551,1,129,89,31.5,3
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11552,1,131,79,31.5,3
52,7_5120x stock m270_4xobj_4_grid_r0_c3.png,11553,1,56,197,46.0,3
